1J,"Karn, the Great Creator (001 - JPN Alternate Art)"
232J,"Kiora, Behemoth Beckoner (232 - JPN Alternate Art)"
220J,"Tamiyo, Collector of Tales (220 - JPN Alternate Art)"
217J,"Sorin, Vengeful Bloodlord (217 - JPN Alternate Art)"
228J,"Ashiok, Dream Render (228 - JPN Alternate Art)"
236J,"Vraska, Swarm's Eminence (236 - JPN Alternate Art)"
164J,"Jiang Yanggu, Wildcrafter (164 - JPN Alternate Art)"
231J,"Kaya, Bane of the Dead (231 - JPN Alternate Art)"
97J,"Liliana, Dreadhorde General (097 - JPN Alternate Art)"
54J,"Jace, Wielder of Mysteries (054 - JPN Alternate Art)"
61J,"Narset, Parter of Veils (061 - JPN Alternate Art)"
221J,"Teferi, Time Raveler (221 - JPN Alternate Art)"
207J,"Nicol Bolas, Dragon-God (207 - JPN Alternate Art)"
169J,"Nissa, Who Shakes the World (169 - JPN Alternate Art)"
180J,"Vivien, Champion of the Wilds (180 - JPN Alternate Art)"
211J,"Ral, Storm Conduit (211 - JPN Alternate Art)"
13J,"Gideon Blackblade (013 - JPN Alternate Art)"
2J,"Ugin, the Ineffable (002 - JPN Alternate Art)"
119J,"Chandra, Fire Artisan (119 - JPN Alternate Art)"
184J,"Ajani, the Greathearted (184 - JPN Alternate Art)"
100J,"Ob Nixilis, the Hate-Twisted (100 - JPN Alternate Art)"
56J,"Kasmina, Enigmatic Mentor (056 - JPN Alternate Art)"
230J,"Huatli, the Sun's Heart (230 - JPN Alternate Art)"
37J,"The Wanderer (037 - JPN Alternate Art)"
83J,"Davriel, Rogue Shadowmage (083 - JPN Alternate Art)"
227J,"Angrath, Captain of Chaos (227 - JPN Alternate Art)"
235J,"Samut, Tyrant Smasher (235 - JPN Alternate Art)"
229J,"Dovin, Hand of Control (229 - JPN Alternate Art)"
135J,"Jaya, Venerated Firemage (135 - JPN Alternate Art)"
32J,"Teyo, the Shieldmage (032 - JPN Alternate Art)"
233J,"Nahiri, Storm of Stone (233 - JPN Alternate Art)"
150J,"Arlinn, Voice of the Pack (150 - JPN Alternate Art)"
146J,"Tibalt, Rakish Instigator (146 - JPN Alternate Art)"
143J,"Sarkhan the Masterless (143 - JPN Alternate Art)"
191J,"Domri, Anarch of Bolas (191 - JPN Alternate Art)"
234J,"Saheeli, Sublime Artificer (234 - JPN Alternate Art)"
